file_id,clean_id,condition,wer,wer_percent,reference,hypothesis
librispeech_1,librispeech_1,clean,0,0,"This meant that for an alleged misdemeanor, for which Congress prescribed a maximum penalty of six months imprisonment and a fine of $300. A man might be imprisoned for life, eye for many terms of a man's natural life, did the courts power to enforce its sentences extent so far, and might be fined millions of dollars.","This meant that for an alleged misdemeanor, for which Congress prescribed a maximum penalty of six months imprisonment and a fine of $300. A man might be imprisoned for life, eye for many terms of a man's natural life, did the courts power to enforce its sentences extent so far, and might be fined millions of dollars."
librispeech_10,librispeech_10,clean,0,0,"then the church was disincorporated, and its property was both real and personal, confiscated, and exciated to the government of the United States. And although the personal property was soon restored, real estate of great value long lay in the hands of the court's receiver, and the Mormon church had to pay the national government high rental on its own property.","then the church was disincorporated, and its property was both real and personal, confiscated, and exciated to the government of the United States. And although the personal property was soon restored, real estate of great value long lay in the hands of the court's receiver, and the Mormon church had to pay the national government high rental on its own property."
librispeech_11,librispeech_11,clean,0,0,"And so the story of Mormonism runs on. Its finale has not yet been written. The current press presents continuously new stages of its progress, new developments of its plan.","And so the story of Mormonism runs on. Its finale has not yet been written. The current press presents continuously new stages of its progress, new developments of its plan."
librispeech_12,librispeech_12,clean,0,0,"Before this travesty on the administration of law could be brought before the court of last resort, and they're met with the reversal and rebuke it deserved, men were imprisoned under sentence of many years' duration.","Before this travesty on the administration of law could be brought before the court of last resort, and they're met with the reversal and rebuke it deserved, men were imprisoned under sentence of many years' duration."
librispeech_13,librispeech_13,clean,0,0,"What the Latter-day Saints call celestial marriage is characteristic of the church and is in very general practice. But of celestial marriage, plurality of wives was an incident, never an essential.","What the Latter-day Saints call celestial marriage is characteristic of the church and is in very general practice. But of celestial marriage, plurality of wives was an incident, never an essential."
librispeech_14,librispeech_14,clean,0,0,Federal judges and United States attorneys in Utah who were not Mormons nor lovers of Mormonism refused to entertain complaints or prosecute cases under the law because of its manifest injustice and inadequacy.,Federal judges and United States attorneys in Utah who were not Mormons nor lovers of Mormonism refused to entertain complaints or prosecute cases under the law because of its manifest injustice and inadequacy.
librispeech_15,librispeech_15,clean,0,0,"At the inception of Pearl Marriage among the Latter-day Saints, there was no law, national, or state against its practice.","At the inception of Pearl Marriage among the Latter-day Saints, there was no law, national, or state against its practice."
librispeech_16,librispeech_16,clean,0,0,"They knew no north, no south, no east, no west. They stood positively by the Constitution, and would have nothing to do in the bloody strife between brothers. Unless indeed they were summoned by the authority to which they had already once lawfully responded, the furnishment and arms for the country's need.","They knew no north, no south, no east, no west. They stood positively by the Constitution, and would have nothing to do in the bloody strife between brothers. Unless indeed they were summoned by the authority to which they had already once lawfully responded, the furnishment and arms for the country's need."
librispeech_17,librispeech_17,clean,0,0,Already in North and South were talked of. Why not set up also a West?,Already in North and South were talked of. Why not set up also a West?
librispeech_18,librispeech_18,clean,0,0,making their way across the river. Most of the refugees found shelter among the more hospitable people of Clay County and afterward established themselves in Caldwell County. They were in the city of Far West.,making their way across the river. Most of the refugees found shelter among the more hospitable people of Clay County and afterward established themselves in Caldwell County. They were in the city of Far West.
